Date,BHP.AX,RIO.AX,FMG.AX,NST.AX,CBA.AX,NAB.AX,WBC.AX,ANZ.AX,WES.AX,WOW.AX,COL.AX,JBH.AX,CSL.AX,RMD.AX,COH.AX,SHL.AX,XRO.AX,CPU.AX,WTC.AX,APX.AX,BHP.AX_MA20,RIO.AX_MA20,FMG.AX_MA20,NST.AX_MA20,CBA.AX_MA20,NAB.AX_MA20,WBC.AX_MA20,ANZ.AX_MA20,WES.AX_MA20,WOW.AX_MA20,COL.AX_MA20,JBH.AX_MA20,CSL.AX_MA20,RMD.AX_MA20,COH.AX_MA20,SHL.AX_MA20,XRO.AX_MA20,CPU.AX_MA20,WTC.AX_MA20,APX.AX_MA20,BHP.AX_MA50,RIO.AX_MA50,FMG.AX_MA50,NST.AX_MA50,CBA.AX_MA50,NAB.AX_MA50,WBC.AX_MA50,ANZ.AX_MA50,WES.AX_MA50,WOW.AX_MA50,COL.AX_MA50,JBH.AX_MA50,CSL.AX_MA50,RMD.AX_MA50,COH.AX_MA50,SHL.AX_MA50,XRO.AX_MA50,CPU.AX_MA50,WTC.AX_MA50,APX.AX_MA50
2023-06-14,45.900001525878906,109.8602523803711,18.301227569580078,12.341047286987305,90.42304229736328,23.10414695739746,18.43457794189453,20.289691925048828,45.34660339355469,36.19166946411133,16.582080841064453,38.93946838378906,279.0517578125,31.63739776611328,230.89703369140625,32.557823181152344,111.33999633789062,21.557100296020508,78.08323669433594,2.5737459659576416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,46.25,111.37361145019531,18.95905876159668,12.113913536071777,90.99879455566406,23.230941772460938,18.470441818237305,20.47559356689453,45.591209411621094,36.30486297607422,16.67477035522461,39.271419525146484,271.52294921875,31.459381103515625,230.28448486328125,32.30673599243164,113.79000091552734,21.509864807128906,78.92090606689453,2.373667001724243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,46.41999816894531,111.61007690429688,18.98436164855957,12.57764720916748,92.26177215576172,23.41208267211914,18.748394012451172,20.608379364013672,46.12746810913086,36.42747497558594,16.767457962036133,39.71401596069336,269.92974853515625,31.350595474243164,232.2194061279297,32.61362075805664,116.72000122070312,21.557100296020508,79.85831451416016,2.5828399658203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19,46.099998474121094,110.31426239013672,18.83255386352539,12.691216468811035,93.33901977539062,23.602275848388672,18.963584899902344,20.90936279296875,46.55083084106445,37.295249938964844,16.989912033081055,39.898433685302734,276.32196044921875,31.82530403137207,234.95164489746094,32.91120910644531,118.20999908447266,21.934961318969727,80.33697509765625,2.4373281002044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-20,46.720001220703125,111.04256439208984,18.891590118408203,12.624968528747559,94.36981201171875,24.000782012939453,19.214641571044922,21.068702697753906,46.889522552490234,37.663108825683594,17.11967658996582,40.12895202636719,275.40875244140625,31.95387077331543,235.21417236328125,33.08789825439453,119.87999725341797,22.095552444458008,80.54639434814453,2.446423053741455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-21,46.220001220703125,109.5197525024414,18.571107864379883,12.341047286987305,94.425537109375,24.027950286865234,19.026348114013672,20.962472915649414,46.155696868896484,37.99323654174805,17.240171432495117,39.16999053955078,275.5253601074219,31.736299514770508,233.6876220703125,33.05070114135742,118.54000091552734,21.859390258789062,79.87825775146484,2.473706007003784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-22,45.119998931884766,108.19556427001953,18.157854080200195,11.943559646606445,92.93968963623047,23.683786392211914,18.864957809448242,20.626083374023438,45.55358123779297,37.56878662109375,17.026987075805664,38.48765182495117,273.94189453125,31.657176971435547,229.739990234375,32.650821685791016,113.33000183105469,21.689348220825195,76.68711853027344,2.446423053741455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23,44.599998474121094,107.00379180908203,18.05664825439453,11.640713691711426,91.48170471191406,23.348682403564453,18.604936599731445,20.201168060302734,45.224300384521484,37.597084045410156,17.054792404174805,38.43232345581055,273.95159912109375,31.8450870513916,221.65028381347656,32.30673599243164,111.33999633789062,21.4153995513916,76.58739471435547,2.364572048187256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-26,44.45000076293945,106.6349105834961,17.99761390686035,11.877313613891602,90.94308471679688,23.158489227294922,18.542173385620117,20.156906127929688,45.44068908691406,37.295249938964844,16.943567276000977,38.31245422363281,272.0086669921875,31.78574562072754,221.60166931152344,32.27883529663086,113.19000244140625,21.141447067260742,77.0660629272461,2.0735480785369873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27,45.11000061035156,108.43202209472656,18.51207160949707,11.792136192321777,91.40741729736328,23.321514129638672,18.838058471679688,20.466739654541016,45.534767150878906,37.474464416503906,17.064062118530273,38.86570358276367,271.08575439453125,31.568172454833984,220.20152282714844,32.994903564453125,113.0199966430664,21.254806518554688,76.36800384521484,2.14630389213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
